Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
"A New Era of American Architectural Concrete, Volume 3",Roberto Gargiani,Epfl Press,Not mentioned,"Rs.10,308",Paperback,15 Apr 2021,English

"A New Era of American Architectural Concrete, Volume 2",Roberto Gargiani,Epfl Press,Not mentioned,"Rs.10,308",Paperback,15 Apr 2021,English

"The Future of Service Post-Covid-19 Pandemic, Volume 1",Jungwoo Lee,Springer,Not mentioned,"Rs.4,954",Hardback,17 Apr 2021,English

Protective Security,James Seaman,Apress,"Rs.3,465","Rs.2,426",Paperback,08 Apr 2021,English

Design and Simulation in Biomedical Mechanics,Andreas �chsner,Springer International Publishing,Not mentioned,"Rs.16,025",Hardback,15 Apr 2021,English

Strategic Innovative Marketing and Tourism in the Covid-19 Era,Androniki Kavoura,Springer International Publishing,Not mentioned,"Rs.14,356",Paperback,06 Apr 2021,English

Microfluidics for Assisted Reproduction in Animals,Vinod Kumar Yata,Springer,Not mentioned,"Rs.14,302",Hardback,11 Apr 2021,English

A New Model of Political Reasoning,Kanzhen Li,Springer,Not mentioned,"Rs.4,901",Hardback,13 Apr 2021,English

The Undertaking of Billy Buffone,David Giuliano,Latitude 46,"Rs.1,537","Rs.1,153",Paperback,17 Apr 2021,English

"""the Nose""",Ksana Blank,Academic Studies Press,Not mentioned,"Rs.8,321",Hardback,13 Apr 2021,English

Schiedsgerichtsbarkeit Und Strafrecht,Michael Komuczky,Springer Fachmedien Wiesbaden,Not mentioned,"Rs.6,839",Paperback,13 Apr 2021,German

Socially Responsible Higher Education,Budd L Hall,Brill,Not mentioned,"Rs.13,354",Hardback,22 Apr 2021,English

Wanghong as Social Media Entertainment in China,David Craig,Springer International Publishing,Not mentioned,"Rs.8,832",Hardback,19 Apr 2021,English

The Girl from Dream City,Linda Leith,University of Regina Press,Not mentioned,"Rs.7,865",Hardback,10 Apr 2021,English

The Philosophy of Henry Thoreau,Lester H Hunt,Bloomsbury Academic,Not mentioned,"Rs.3,408",Paperback,22 Apr 2021,English

